iter	Passed	Remaining
834	17916	3540
835	17950	3521
836	17976	3500
837	18004	3480
838	18029	3459
839	18056	3439
840	18081	3418
841	18107	3397
842	18133	3377
843	18161	3356
844	18187	3336
845	18213	3315
846	18239	3294
847	18267	3274
848	18293	3253
849	18319	3232
850	18345	3212
851	18370	3191
852	18396	3170
853	18421	3149
854	18446	3128
855	18465	3106
856	18486	3084
857	18505	3062
858	18524	3040
859	18542	3018
860	18561	2996
861	18580	2974
862	18599	2952
863	18622	2931
864	18642	2909
865	18661	2887
866	18681	2865
867	18699	2843
868	18719	2821
869	18738	2799
870	18757	2778
871	18779	2756
872	18799	2734
873	18818	2713
874	18838	2691
875	18858	2669
876	18878	2647
877	18897	2625
878	18916	2603
879	18943	2583
880	18964	2561
881	18986	2540
882	19005	2518
883	19025	2496
884	19044	2474
885	19063	2452
886	19082	2431
887	19100	2409
888	19119	2387
889	19138	2365
890	19157	2343
891	19176	2321
892	19195	2300
893	19214	2278
894	19233	2256
895	19253	2234
896	19273	2213
897	19293	2191
898	19313	2169
899	19333	2148
900	19351	2126
901	19370	2104
902	19388	2082
903	19407	2060
904	19426	2039
905	19445	2017
906	19464	1995
907	19483	1974
908	19502	1952
909	19520	1930
910	19539	1908
911	19558	1887
912	19577	1865
913	19595	1843
914	19614	1822
915	19633	1800
916	19652	1778
917	19671	1757
918	19689	1735
919	19708	1713
920	19727	1692
921	19745	1670
922	19763	1648
923	19782	1627
924	19801	1605
925	19820	1583
926	19843	1562
927	19862	1541
928	19881	1519
929	19902	1498
930	19923	1476
931	19943	1455
932	19962	1433
933	19985	1412
934	20008	1390
935	20029	1369
936	20049	1348
937	20071	1326
938	20089	1305
939	20107	1283
940	20126	1261
941	20145	1240
942	20164	1218
943	20184	1197
944	20203	1175
945	20222	1154
946	20240	1132
947	20260	1111
948	20280	1089
949	20298	1068
950	20316	1046
951	20336	1025
952	20355	1003
953	20374	982
954	20394	960
955	20413	939
956	20432	918
957	20450	896
958	20469	875
959	20489	853
960	20508	832
961	20527	810
962	20547	789
963	20565	768
964	20585	746
965	20604	725
966	20623	703
967	20642	682
968	20661	660
969	20679	639
970	20697	618
971	20717	596
972	20735	575
973	20754	554
974	20773	532
975	20791	511
976	20810	489
977	20829	468
978	20848	447
979	20867	425
980	20886	404
981	20909	383
982	20928	361
983	20947	340
984	20966	319
985	20986	297
986	21005	276
987	21025	255
988	21045	234
989	21068	212
990	21087	191
991	21107	170
992	21126	148
993	21145	127
994	21164	106
995	21184	85
996	21203	63
997	21221	42
998	21241	21
999	21259	0
