iter	Passed	Remaining
758	104799	33276
759	104934	33137
760	105067	32997
761	105203	32858
762	105337	32719
763	105476	32581
764	105609	32442
765	105746	32303
766	105876	32163
767	106014	32025
768	106149	31886
769	106289	31748
770	106419	31608
771	106557	31470
772	106689	31330
773	106827	31192
774	106960	31053
775	107097	30914
776	107230	30775
777	107372	30638
778	107521	30503
779	107692	30374
780	107834	30237
781	107970	30099
782	108103	29959
783	108242	29821
784	108373	29681
785	108509	29543
786	108648	29405
787	108784	29266
788	108912	29126
789	109063	28991
790	109202	28853
791	109337	28714
792	109469	28575
793	109612	28438
794	109747	28299
795	109887	28162
796	110036	28026
797	110175	27888
798	110307	27749
799	110447	27611
800	110602	27477
801	110755	27343
802	110893	27205
803	111048	27071
804	111190	26934
805	111339	26798
806	111489	26663
807	111649	26530
808	111796	26394
809	111939	26257
810	112092	26122
811	112230	25984
812	112366	25845
813	112517	25710
814	112660	25573
815	112800	25435
816	112936	25296
817	113073	25158
818	113209	25019
819	113347	24881
820	113494	24744
821	113644	24609
822	113779	24470
823	113921	24332
824	114063	24195
825	114204	24057
826	114393	23929
827	114531	23791
828	114669	23653
829	114807	23514
830	114950	23377
831	115088	23238
832	115242	23103
833	115388	22966
834	115531	22829
835	115685	22694
836	115825	22556
837	115957	22416
838	116104	22279
839	116236	22140
840	116376	22002
841	116513	21863
842	116665	21727
843	116807	21589
844	116953	21452
845	117090	21314
846	117234	21176
847	117372	21038
848	117527	20903
849	117695	20769
850	117889	20640
851	118054	20507
852	118188	20367
853	118322	20228
854	118461	20090
855	118605	19952
856	118769	19818
857	118935	19684
858	119101	19549
859	119267	19415
860	119434	19281
861	119601	19147
862	119762	19012
863	119893	18872
864	120034	18733
865	120179	18595
866	120314	18456
867	120443	18316
868	120576	18176
869	120708	18036
870	120844	17897
871	120984	17759
872	121118	17619
873	121249	17479
874	121382	17340
875	121520	17201
876	121666	17063
877	121798	16924
878	121930	16784
879	122060	16644
880	122196	16505
881	122324	16365
882	122455	16225
883	122587	16086
884	122716	15946
885	122844	15806
886	122974	15666
887	123102	15526
888	123235	15387
889	123362	15247
890	123516	15110
891	123648	14970
892	123779	14831
893	123907	14691
894	124046	14552
895	124181	14413
896	124321	14275
897	124455	14136
898	124595	13997
899	124738	13859
900	124871	13720
901	125002	13581
902	125139	13442
903	125270	13303
904	125402	13163
905	125534	13024
906	125679	12886
907	125814	12747
908	125954	12609
909	126095	12470
910	126231	12332
911	126364	12193
912	126499	12054
